# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoads,1780690374297000000,1780690386884000000,388
FilePageCache.capacityInBytes,1780690374297000000,1780690386884000000,629145600
FilePageCache.maxCacheSizeInBytes,1780690374297000000,1780690386884000000,403701760
DirectByteBufferAllocator.hits,1780690374297000000,1780690386884000000,3
FilePageCache.pageFastCacheHits,1780690374297000000,1780690386884000000,27046
DirectByteBufferAllocator.misses,1780690374297000000,1780690386884000000,385
FilePageCache.disposedBuffers,1780690374297000000,1780690386884000000,388
FilePageCache.totalPageDisposalsUs,1780690374297000000,1780690386884000000,2134
StorageLockContext.competingThreads.avg,1780690374297000000,1780690386884000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1780690374297000000,1780690386884000000,41943040
FilePageCache.totalPageLoadsUs,1780690374297000000,1780690386884000000,94108
FileChannelInterruptsRetryer.totalRetriedAttempts,1780690374297000000,1780690386884000000,0
StorageLockContext.competingThreads.90P,1780690374297000000,1780690386884000000,0
DirectByteBufferAllocator.disposed,1780690374297000000,1780690386884000000,345
StorageLockContext.competingThreads.max,1780690374297000000,1780690386884000000,0
FilePageCache.pageHits,1780690374297000000,1780690386884000000,0
FilePageCache.uncachedFileAccess,1780690374297000000,1780690386884000000,697
DirectByteBufferAllocator.reclaimed,1780690374297000000,1780690386884000000,43
FilePageCache.maxRegisteredFiles,1780690374297000000,1780690386884000000,1078
FilePageCache.pageLoadsAboveSizeThreshold,1780690374297000000,1780690386884000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1780690374297000000,1780690386884000000,41943040
parser.HTML.time.ns,1780690374297000000,1780690386884000000,1133792
parser.VTL.time.ns,1780690374297000000,1780690386884000000,480666
DiskQueryRelay.tasksExecuted,1780690374297000000,1780690386884000000,294
parser.HTML.size.bytes,1780690374297000000,1780690386884000000,1
lexer.HTML.size.bytes,1780690374297000000,1780690386884000000,1
writeAction.median.wait.ms,1780690374297000000,1780690386884000000,0
parser.VTL.size.bytes,1780690374297000000,1780690386884000000,138
DiskQueryRelay.taskWaitingTotalTimeUs,1780690374297000000,1780690386884000000,170269
lexer.VTL.time.ns,1780690374297000000,1780690386884000000,365583
DiskQueryRelay.tasksRequested,1780690374297000000,1780690386884000000,294
writeAction.wait.ms,1780690374297000000,1780690386884000000,19
writeAction.count,1780690374297000000,1780690386884000000,12
lexer.VTL.size.bytes,1780690374297000000,1780690386884000000,138
lexer.HTML.time.ns,1780690374297000000,1780690386884000000,67166
writeAction.max.wait.ms,1780690374297000000,1780690386884000000,18
DiskQueryRelay.taskExecutionTotalTimeUs,1780690374297000000,1780690386884000000,156550
workspaceModel.updates.count,1780690374297000000,1780690386884000000,0
workspaceModel.cachedValue.total.get.count,1780690374297000000,1780690386884000000,18
workspaceModel.cachedValue.calculated.count,1780690374297000000,1780690386884000000,2
workspaceModel.check.recursive.update.ms,1780690374297000000,1780690386884000000,0
workspaceModel.loading.from.cache.ms,1780690374297000000,1780690386884000000,16
workspaceModel.cachedValueWithParameters.clear.count,1780690374297000000,1780690386884000000,0
workspaceModel.update.unloaded.entities.ms,1780690374297000000,1780690386884000000,0
workspaceModel.updates.precise.ms,1780690374297000000,1780690386884000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1780690374297000000,1780690386884000000,0
workspaceModel.initializing.ms,1780690374297000000,1780690386884000000,0
workspaceModel.cachedValue.clear.count,1780690374297000000,1780690386884000000,0
workspaceModel.on.before.changed.ms,1780690374297000000,1780690386884000000,0
workspaceModel.init.bridges.ms,1780690374297000000,1780690386884000000,0
workspaceModel.replace.project.model.ms,1780690374297000000,1780690386884000000,0
workspaceModel.cachedValue.from.cache.count,1780690374297000000,1780690386884000000,16
workspaceModel.pre.handlers.ms,1780690374297000000,1780690386884000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1780690374297000000,1780690386884000000,0
workspaceModel.to.snapshot.ms,1780690374297000000,1780690386884000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1780690374297000000,1780690386884000000,4
workspaceModel.updates.ms,1780690374297000000,1780690386884000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1780690374297000000,1780690386884000000,0
workspaceModel.loading.total.ms,1780690374297000000,1780690386884000000,18
workspaceModel.collect.changes.ms,1780690374297000000,1780690386884000000,0
workspaceModel.on.changed.ms,1780690374297000000,1780690386884000000,0
workspaceModel.full.replace.project.model.ms,1780690374297000000,1780690386884000000,0
Indexes.stubs.lookupDurationAvgMs,1780690374297000000,1780690386884000000,0.0
Indexing.totalTimeIndexersSleptMs,1780690374297000000,1780690386884000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1780690374297000000,1780690386884000000,0
Indexes.allKeys.lookupDurationAvgMs,1780690374297000000,1780690386884000000,0.0
Indexing.writesQueuedMax,1780690374297000000,1780690386884000000,0
Indexes.stubs.lookupDurationMaxMs,1780690374297000000,1780690386884000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1780690374297000000,1780690386884000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1780690374297000000,1780690386884000000,0
Indexing.cache.totalCacheMisses,1780690374297000000,1780690386884000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1780690374297000000,1780690386884000000,0
Indexes.stubs.lookupDuration90PMs,1780690374297000000,1780690386884000000,0.0
Indexes.entries.lookups,1780690374297000000,1780690386884000000,1
Indexes.allKeys.lookupDurationMaxMs,1780690374297000000,1780690386884000000,0.0
Indexes.allKeys.lookups,1780690374297000000,1780690386884000000,0
Indexing.cache.totalCacheAccesses,1780690374297000000,1780690386884000000,0
Indexes.entries.lookupDurationMaxMs,1780690374297000000,1780690386884000000,0.0
Indexes.entries.lookupDurationAvgMs,1780690374297000000,1780690386884000000,0.0
Indexes.stubs.lookups,1780690374297000000,1780690386884000000,0
Indexing.writesQueuedMin,1780690374297000000,1780690386884000000,9223372036854775807
Indexes.entries.lookupDuration90PMs,1780690374297000000,1780690386884000000,0.0
Indexes.allKeys.lookupDuration90PMs,1780690374297000000,1780690386884000000,0.0
Indexing.cache.totalCacheEvicted,1780690374297000000,1780690386884000000,0
NonBlockingReadAction.failedExecutionsCount,1780690374297000000,1780690386884000000,0
AWTEventQueue.dispatchTimeTotalNS,1780690374297000000,1780690386884000000,1454204381
NonBlockingReadAction.failedExecutionTimeUs,1780690374297000000,1780690386884000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1780690374297000000,1780690386884000000,90133
NonBlockingReadAction.finalizedExecutionsCount,1780690374297000000,1780690386884000000,17
workspaceModel.mutableEntityStorage.hasReferrers.ms,1780690374297000000,1780690386884000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1780690374297000000,1780690386884000000,0
jps.load.initial.state.ms,1780690374297000000,1780690386884000000,8
workspaceModel.moduleManagerBridge.get.modules.ms,1780690374297000000,1780690386884000000,1
workspaceModel.mutableEntityStorage.entities.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1780690374297000000,1780690386884000000,0
jps.library.entities.serializer.save.entities.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1780690374297000000,1780690386884000000,0
workspaceModel.load.cache.from.file.ms,1780690374297000000,1780690386884000000,0
workspaceModel.global.updates.count,1780690374297000000,1780690386884000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1780690374297000000,1780690386884000000,0
jps.library.entities.serializer.load.entities.ms,1780690374297000000,1780690386884000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1780690374297000000,1780690386884000000,0
jps.global.get.library.ms,1780690374297000000,1780690386884000000,0
jps.global.initialize.library.bridges.after.loading.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1780690374297000000,1780690386884000000,0
workspaceModel.sync.entities.ms,1780690374297000000,1780690386884000000,0
workspaceModel.load.cache.metadata.from.file.ms,1780690374297000000,1780690386884000000,0
jps.app.storage.content.reader.load.component.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1780690374297000000,1780690386884000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1780690374297000000,1780690386884000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1780690374297000000,1780690386884000000,0
