    idea.system.path=/Users/kiishidavid/Documents/Dev/Projects/itetheagt/ite-intellij/.intellijPlatform/sandbox/ite-intellij/IU-2025.3.3/system
    idea.plugins.path=/Users/kiishidavid/Documents/Dev/Projects/itetheagt/ite-intellij/.intellijPlatform/sandbox/ite-intellij/IU-2025.3.3/plugins
    idea.log.path=/Users/kiishidavid/Documents/Dev/Projects/itetheagt/ite-intellij/.intellijPlatform/sandbox/ite-intellij/IU-2025.3.3/log
2026-06-05 21:12:54,035 [     45]   INFO - #c.i.p.i.b.AppStarter - CPU cores: 14; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@721e7487[Running, parallelism = 13, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: java.util.concurrent.ForkJoinPool$DefaultForkJoinWorkerThreadFactory@63098d1a
2026-06-05 21:12:54,185 [    195]   INFO - #c.i.i.p.PluginManager - Using broken plugins file from IDE distribution
2026-06-05 21:12:54,186 [    196]   INFO - #c.i.i.p.PluginManager - PluginMainDescriptor(name=iTE, the agent, id=com.kiishi.ite.intellij, version=0.0.1, isBundled=false, path=~/Documents/Dev/Projects/itetheagt/ite-intellij/.intellijPlatform/sandbox/ite-intellij/IU-2025.3.3/plugins/ite-intellij) overrides PluginMainDescriptor(name=iTE, the agent, id=com.kiishi.ite.intellij, version=0.0.1, isBundled=false, path=~/Documents/Dev/Projects/itetheagt/ite-intellij/.intellijPlatform/sandbox/ite-intellij/IU-2025.3.3/plugins/ite-intellij)
2026-06-05 21:12:54,210 [    220]   INFO - #c.i.i.p.PluginManager - Plugin set resolution:
Module intellij.sh.frontend.split is not enabled because dependency intellij.platform.frontend.split is not available
Module intellij.fullLine.chat is not enabled because dependency intellij.ml.llm.core is not available
Module intellij.fullLine.terraform is not enabled because dependency org.intellij.plugins.hcl is not available
Module intellij.fullLine.rust is not enabled because dependency com.jetbrains.rust is not available
Module intellij.fullLine.ruby is not enabled because dependency intellij.ruby.backend is not available
Module intellij.fullLine.rider is not enabled because dependency com.intellij.modules.rider.cpp.core is not available
Module intellij.fullLine.rider.shaderlab is not enabled because dependency intellij.fullLine.rider is not available
Module intellij.fullLine.rider.fsharp is not enabled because dependency intellij.fullLine.rider is not available
Module intellij.fullLine.rider.csharp is not enabled because dependency intellij.fullLine.rider is not available
Module intellij.fullLine.rider.cpp is not enabled because dependency intellij.fullLine.rider is not available
Module intellij.fullLine.rbs is not enabled because dependency intellij.ruby.rbs.backend is not available
Module intellij.fullLine.python is not enabled because dependency com.intellij.modules.python is not available
Module intellij.fullLine.php is not enabled because dependency com.jetbrains.php is not available
Module intellij.fullLine.go is not enabled because dependency org.jetbrains.plugins.go is not available
Module intellij.fullLine.erb is not enabled because dependency org.jetbrains.plugins.ruby is not available
Module intellij.fullLine.cpp is not enabled because dependency intellij.cidr.lang.base is not available
Module intellij.fullLine.federatedCompute is not enabled because dependency com.intellij.federatedCompute is not available
Module intellij.fullLine.terraform.local is not enabled because dependency intellij.fullLine.terraform is not available
Module intellij.fullLine.rust.local is not enabled because dependency intellij.fullLine.rust is not available
Module intellij.fullLine.ruby.local is not enabled because dependency intellij.fullLine.ruby is not available
Module intellij.fullLine.rider.local is not enabled because dependency intellij.fullLine.rider is not available
Module intellij.fullLine.rider.csharp.local is not enabled because dependency intellij.fullLine.rider is not available
Module intellij.fullLine.rider.cpp.local is not enabled because dependency intellij.fullLine.rider is not available
