# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.HTML.time.ns,1780715515351000000,1780715529231000000,1034166
lexer.VTL.time.ns,1780715515351000000,1780715529231000000,398417
DiskQueryRelay.tasksRequested,1780715515351000000,1780715529231000000,120
parser.HTML.size.bytes,1780715515351000000,1780715529231000000,1
DiskQueryRelay.tasksExecuted,1780715515351000000,1780715529231000000,120
lexer.HTML.time.ns,1780715515351000000,1780715529231000000,67043
parser.VTL.size.bytes,1780715515351000000,1780715529231000000,138
writeAction.max.wait.ms,1780715515351000000,1780715529231000000,26
DiskQueryRelay.taskExecutionTotalTimeUs,1780715515351000000,1780715529231000000,6976
writeAction.median.wait.ms,1780715515351000000,1780715529231000000,0
writeAction.wait.ms,1780715515351000000,1780715529231000000,26
workspaceModel.replace.project.model.ms,1780715515351000000,1780715529231000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1780715515351000000,1780715529231000000,0
workspaceModel.on.before.changed.ms,1780715515351000000,1780715529231000000,0
workspaceModel.collect.changes.ms,1780715515351000000,1780715529231000000,0
workspaceModel.updates.count,1780715515351000000,1780715529231000000,0
workspaceModel.cachedValueWithParameters.clear.count,1780715515351000000,1780715529231000000,0
workspaceModel.cachedValue.total.get.count,1780715515351000000,1780715529231000000,18
workspaceModel.loading.total.ms,1780715515351000000,1780715529231000000,26
workspaceModel.cachedValueWithParameters.from.cache.count,1780715515351000000,1780715529231000000,0
workspaceModel.updates.ms,1780715515351000000,1780715529231000000,0
workspaceModel.pre.handlers.ms,1780715515351000000,1780715529231000000,0
workspaceModel.cachedValue.calculated.count,1780715515351000000,1780715529231000000,2
workspaceModel.full.replace.project.model.ms,1780715515351000000,1780715529231000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1780715515351000000,1780715529231000000,5
workspaceModel.check.recursive.update.ms,1780715515351000000,1780715529231000000,0
workspaceModel.loading.from.cache.ms,1780715515351000000,1780715529231000000,22
workspaceModel.cachedValue.from.cache.count,1780715515351000000,1780715529231000000,16
workspaceModel.initializing.ms,1780715515351000000,1780715529231000000,0
workspaceModel.init.bridges.ms,1780715515351000000,1780715529231000000,0
workspaceModel.update.unloaded.entities.ms,1780715515351000000,1780715529231000000,0
workspaceModel.to.snapshot.ms,1780715515351000000,1780715529231000000,0
workspaceModel.updates.precise.ms,1780715515351000000,1780715529231000000,0
workspaceModel.on.changed.ms,1780715515351000000,1780715529231000000,0
workspaceModel.cachedValue.clear.count,1780715515351000000,1780715529231000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1780715515351000000,1780715529231000000,0
cacheStateStorage.set.duration,1780715515351000000,1780715529231000000,12
cacheStateStorage.get.counter,1780715515351000000,1780715529231000000,10
cacheStateStorage.get.duration,1780715515351000000,1780715529231000000,0
cacheStateStorage.set.counter,1780715515351000000,1780715529231000000,8
NonBlockingReadAction.failedExecutionsCount,1780715515351000000,1780715529231000000,0
NonBlockingReadAction.failedExecutionTimeUs,1780715515351000000,1780715529231000000,0
AWTEventQueue.dispatchTimeTotalNS,1780715515351000000,1780715529231000000,1640855477
NonBlockingReadAction.finalizedExecutionTimeUs,1780715515351000000,1780715529231000000,174700
NonBlockingReadAction.finalizedExecutionsCount,1780715515351000000,1780715529231000000,17
Indexes.entries.lookupDuration90PMs,1780715515351000000,1780715529231000000,0.0
Indexes.allKeys.lookupDuration90PMs,1780715515351000000,1780715529231000000,0.0
Indexing.cache.totalCacheAccesses,1780715515351000000,1780715529231000000,0
Indexing.writesQueuedMax,1780715515351000000,1780715529231000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1780715515351000000,1780715529231000000,0
Indexes.entries.lookups,1780715515351000000,1780715529231000000,1
Indexing.cache.totalCacheMisses,1780715515351000000,1780715529231000000,0
Indexing.cache.totalCacheEvicted,1780715515351000000,1780715529231000000,0
Indexes.allKeys.lookupDurationMaxMs,1780715515351000000,1780715529231000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1780715515351000000,1780715529231000000,0.0
Indexes.allKeys.lookups,1780715515351000000,1780715529231000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1780715515351000000,1780715529231000000,0
Indexes.stubs.lookupDuration90PMs,1780715515351000000,1780715529231000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1780715515351000000,1780715529231000000,0
Indexes.stubs.lookups,1780715515351000000,1780715529231000000,0
Indexes.stubs.lookupDurationMaxMs,1780715515351000000,1780715529231000000,0.0
Indexes.stubs.lookupDurationAvgMs,1780715515351000000,1780715529231000000,0.0
Indexes.entries.lookupDurationMaxMs,1780715515351000000,1780715529231000000,0.0
Indexes.entries.lookupDurationAvgMs,1780715515351000000,1780715529231000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1780715515351000000,1780715529231000000,0
Indexing.totalTimeIndexersSleptMs,1780715515351000000,1780715529231000000,0
Indexing.writesQueuedMin,1780715515351000000,1780715529231000000,9223372036854775807
